,asset,time,volatility_realized_usd_rolling_7d
99,btc,2025-01-24 02:00:00+00:00,0.803681
100,btc,2025-01-24 03:00:00+00:00,0.8017292
101,btc,2025-01-24 04:00:00+00:00,0.8040727
102,btc,2025-01-24 05:00:00+00:00,0.8042165
103,btc,2025-01-24 06:00:00+00:00,0.8043976
104,btc,2025-01-24 07:00:00+00:00,0.8047404
105,btc,2025-01-24 08:00:00+00:00,0.804794
106,btc,2025-01-24 09:00:00+00:00,0.8048813
107,btc,2025-01-24 10:00:00+00:00,0.8049377
108,btc,2025-01-24 11:00:00+00:00,0.8050152
109,btc,2025-01-24 12:00:00+00:00,0.8050714
110,btc,2025-01-24 13:00:00+00:00,0.8045077
111,btc,2025-01-24 14:00:00+00:00,0.8043497
112,btc,2025-01-24 15:00:00+00:00,0.8032261
113,btc,2025-01-24 16:00:00+00:00,0.8013873
114,btc,2025-01-24 17:00:00+00:00,0.7995702
115,btc,2025-01-24 18:00:00+00:00,0.7993979
116,btc,2025-01-24 19:00:00+00:00,0.7998635
117,btc,2025-01-24 20:00:00+00:00,0.79924
118,btc,2025-01-24 21:00:00+00:00,0.7986803
119,btc,2025-01-24 22:00:00+00:00,0.7985795
120,btc,2025-01-24 23:00:00+00:00,0.7988775
121,btc,2025-01-25 00:00:00+00:00,0.7991168
122,btc,2025-01-25 01:00:00+00:00,0.7990181
123,btc,2025-01-25 02:00:00+00:00,0.7986705
124,btc,2025-01-25 03:00:00+00:00,0.7986757
125,btc,2025-01-25 04:00:00+00:00,0.7981867
126,btc,2025-01-25 05:00:00+00:00,0.7964932
127,btc,2025-01-25 06:00:00+00:00,0.7949442
128,btc,2025-01-25 07:00:00+00:00,0.7941323
129,btc,2025-01-25 08:00:00+00:00,0.7932323
130,btc,2025-01-25 09:00:00+00:00,0.7919388
131,btc,2025-01-25 10:00:00+00:00,0.791372
132,btc,2025-01-25 11:00:00+00:00,0.791133
133,btc,2025-01-25 12:00:00+00:00,0.7906749
134,btc,2025-01-25 13:00:00+00:00,0.7903384
135,btc,2025-01-25 14:00:00+00:00,0.7889395
136,btc,2025-01-25 15:00:00+00:00,0.7881055
137,btc,2025-01-25 16:00:00+00:00,0.7873118
138,btc,2025-01-25 17:00:00+00:00,0.785602
139,btc,2025-01-25 18:00:00+00:00,0.7843665
140,btc,2025-01-25 19:00:00+00:00,0.783877
141,btc,2025-01-25 20:00:00+00:00,0.7838535
142,btc,2025-01-25 21:00:00+00:00,0.7833441
143,btc,2025-01-25 22:00:00+00:00,0.783192
144,btc,2025-01-25 23:00:00+00:00,0.7831381
145,btc,2025-01-26 00:00:00+00:00,0.7827674
146,btc,2025-01-26 01:00:00+00:00,0.7825255
147,btc,2025-01-26 02:00:00+00:00,0.7821264
148,btc,2025-01-26 03:00:00+00:00,0.7815446
149,btc,2025-01-26 04:00:00+00:00,0.7812449
150,btc,2025-01-26 05:00:00+00:00,0.7811214
151,btc,2025-01-26 06:00:00+00:00,0.7800995
152,btc,2025-01-26 07:00:00+00:00,0.7798326
153,btc,2025-01-26 08:00:00+00:00,0.7793947
154,btc,2025-01-26 09:00:00+00:00,0.7784706
155,btc,2025-01-26 10:00:00+00:00,0.7759909
156,btc,2025-01-26 11:00:00+00:00,0.7740635
157,btc,2025-01-26 12:00:00+00:00,0.7723264
158,btc,2025-01-26 13:00:00+00:00,0.7712433
159,btc,2025-01-26 14:00:00+00:00,0.7708701
160,btc,2025-01-26 15:00:00+00:00,0.7697209
161,btc,2025-01-26 16:00:00+00:00,0.7683738
162,btc,2025-01-26 17:00:00+00:00,0.7679249
163,btc,2025-01-26 18:00:00+00:00,0.7673807
164,btc,2025-01-26 19:00:00+00:00,0.7673704
165,btc,2025-01-26 20:00:00+00:00,0.766086
166,btc,2025-01-26 21:00:00+00:00,0.7649809
167,btc,2025-01-26 22:00:00+00:00,0.7555623
168,btc,2025-01-26 23:00:00+00:00,0.7361753
169,btc,2025-01-27 00:00:00+00:00,0.7059909
170,btc,2025-01-27 01:00:00+00:00,0.7048366
171,btc,2025-01-27 02:00:00+00:00,0.7037475
172,btc,2025-01-27 03:00:00+00:00,0.7024761
173,btc,2025-01-27 04:00:00+00:00,0.7024525
174,btc,2025-01-27 05:00:00+00:00,0.701819
175,btc,2025-01-27 06:00:00+00:00,0.7016991
176,btc,2025-01-27 07:00:00+00:00,0.6729351
177,eth,2025-01-19 23:00:00+00:00,0.8593621
178,eth,2025-01-20 00:00:00+00:00,0.8812611
179,eth,2025-01-20 01:00:00+00:00,0.8793705
180,eth,2025-01-20 02:00:00+00:00,0.8792287
181,eth,2025-01-20 03:00:00+00:00,0.8825284
182,eth,2025-01-20 04:00:00+00:00,0.8857054
183,eth,2025-01-20 05:00:00+00:00,0.8877672
184,eth,2025-01-20 06:00:00+00:00,0.8926083
185,eth,2025-01-20 07:00:00+00:00,0.9079988
186,eth,2025-01-20 08:00:00+00:00,0.9121646
187,eth,2025-01-20 09:00:00+00:00,0.9131446
188,eth,2025-01-20 10:00:00+00:00,0.9153483
189,eth,2025-01-20 11:00:00+00:00,0.9141481
190,eth,2025-01-20 12:00:00+00:00,0.9113971
191,eth,2025-01-20 13:00:00+00:00,0.9225697
192,eth,2025-01-20 14:00:00+00:00,0.9194769
193,eth,2025-01-20 15:00:00+00:00,0.8986065
194,eth,2025-01-20 16:00:00+00:00,0.8981495
195,eth,2025-01-20 17:00:00+00:00,0.8978141
196,eth,2025-01-20 18:00:00+00:00,0.9199921
197,eth,2025-01-20 19:00:00+00:00,0.9199862
198,eth,2025-01-20 20:00:00+00:00,0.9201121
199,eth,2025-01-20 21:00:00+00:00,0.9163668
200,eth,2025-01-20 22:00:00+00:00,0.9180407
201,eth,2025-01-20 23:00:00+00:00,0.9178105
202,eth,2025-01-21 00:00:00+00:00,0.9219624
203,eth,2025-01-21 01:00:00+00:00,0.9295875
204,eth,2025-01-21 02:00:00+00:00,0.9335433
205,eth,2025-01-21 03:00:00+00:00,0.9325517
206,eth,2025-01-21 04:00:00+00:00,0.9324647
207,eth,2025-01-21 05:00:00+00:00,0.9371132
208,eth,2025-01-21 06:00:00+00:00,0.9370144
209,eth,2025-01-21 07:00:00+00:00,0.9392623
210,eth,2025-01-21 08:00:00+00:00,0.939292
211,eth,2025-01-21 09:00:00+00:00,0.9397397
212,eth,2025-01-21 10:00:00+00:00,0.9371854
213,eth,2025-01-21 11:00:00+00:00,0.9373485
214,eth,2025-01-21 12:00:00+00:00,0.9372369
215,eth,2025-01-21 13:00:00+00:00,0.9385874
216,eth,2025-01-21 14:00:00+00:00,0.9369292
217,eth,2025-01-21 15:00:00+00:00,0.9421926
218,eth,2025-01-21 16:00:00+00:00,0.9422202
219,eth,2025-01-21 17:00:00+00:00,0.9462591
220,eth,2025-01-21 18:00:00+00:00,0.9478216
221,eth,2025-01-21 19:00:00+00:00,0.9491241
222,eth,2025-01-21 20:00:00+00:00,0.949029
223,eth,2025-01-21 21:00:00+00:00,0.9481001
224,eth,2025-01-21 22:00:00+00:00,0.9480997
225,eth,2025-01-21 23:00:00+00:00,0.9485064
226,eth,2025-01-22 00:00:00+00:00,0.9491426
227,eth,2025-01-22 01:00:00+00:00,0.9510248
228,eth,2025-01-22 02:00:00+00:00,0.9515458
229,eth,2025-01-22 03:00:00+00:00,0.9514175
230,eth,2025-01-22 04:00:00+00:00,0.9508049
231,eth,2025-01-22 05:00:00+00:00,0.9502787
