,ada,avax,bnb,btc,doge,eth,hbar,link,shib,sol,steth,sui,ton,trx,usdc,usdt,wbtc,wsteth,xlm,xrp
2025-01-03 23:00:00+00:00,0.7916360679160471,0.6712531770798155,0.33717854723268753,0.32163622296861744,0.664072006803982,0.37759634200686304,0.9461832878880798,0.7673283583000317,0.6092547130165852,0.5846818304941406,0.3754538496432548,0.726877322280318,0.3781613542578025,0.32238892175288686,0.006682870251726878,0.015586652242535694,0.3064721770699593,0.4255558840316465,1.1402040437645975,0.7102278671950847
2025-01-04 00:00:00+00:00,0.7904301857220642,0.6706981172804611,0.3372013889048844,0.32186392251674917,0.669254450382503,0.3783116151694037,0.9468505772999386,0.7677573890070388,0.6092397856569418,0.5828126152773285,0.37611065335803584,0.7284432197339554,0.3781861426718175,0.32282335433638315,0.006688303932052139,0.01555530431378335,0.3065680263204577,0.42570948369309364,1.1394871845458416,0.7099930810296966
2025-01-04 01:00:00+00:00,0.7909962405511659,0.6707844446034122,0.33730114314697945,0.32212065275212615,0.6680112435537088,0.37729554392292336,0.949981079551201,0.7678890056984408,0.6087428055288792,0.582473143514946,0.374998079789228,0.7329408836396775,0.37584636188476933,0.31344770566891544,0.006709837782669811,0.015529361213026047,0.30680058728779297,0.4246599787487852,1.139497643535979,0.7111579678826381
2025-01-04 02:00:00+00:00,0.7894308785773594,0.6702445474702567,0.3373668288190243,0.3221250460814861,0.667909490435223,0.3780973250223037,0.9479322268143517,0.7676664628925788,0.6107730959696681,0.5824737470185893,0.37571954184567613,0.7313825777665015,0.37587753536375246,0.3136331595340095,0.006712612830618066,0.015496230177289936,0.3068264708144242,0.4248788095138516,1.1524670436037787,0.7110278844618152
2025-01-04 03:00:00+00:00,0.7894318088294741,0.6732031452309141,0.3374200983741594,0.3221903722927609,0.6679154110180741,0.37812346216465076,0.9613248809013841,0.7685149408390811,0.6108117310697823,0.5819640313521989,0.37578316737040607,0.7319770852343562,0.37596351833852915,0.3141189922050934,0.006701762723338346,0.01550986091355686,0.30684516726852806,0.42497080470328324,1.170636354547205,0.7163480929640961
2025-01-04 04:00:00+00:00,0.789605848204855,0.6746993852246693,0.33806649791686666,0.322056761342793,0.6872769448391264,0.3778154285503737,0.9632008410469578,0.7695814952453913,0.6195750615266113,0.5823125927290121,0.3754780948979989,0.732105384072121,0.37683021695130103,0.3157420787942377,0.00670249092067193,0.01551628764658006,0.3067755529341013,0.424550998907086,1.1790256894330875,0.717439462483802
2025-01-04 05:00:00+00:00,0.7916987476030257,0.6759610872897768,0.33832786149596944,0.3225054687663642,0.6925715085184703,0.37820893607135336,0.9668566055871145,0.77015037086909,0.6274824333913258,0.5821904713629138,0.37581275272689896,0.7312157762873689,0.378022998595045,0.31697855111032247,0.006732885943778738,0.015514231078800794,0.3072502863853402,0.4251698646805177,1.1836463132643296,0.7202981450172149
2025-01-04 06:00:00+00:00,0.7906023035659726,0.6750951543750895,0.33818339019688637,0.3226575561250412,0.6975875372840268,0.3781313176999856,0.9669643280648381,0.7700632571644431,0.6300535560684125,0.5815091160863761,0.3757748192118027,0.7310240203177983,0.37635283266378877,0.31710981361632584,0.006738942199087792,0.015494460466779346,0.3074256048039628,0.42508423003198464,1.1835819593414454,0.7190542712581764
2025-01-04 07:00:00+00:00,0.7871895197276253,0.6727285261106951,0.3370952242884126,0.3222848102887298,0.7025664844352777,0.3773068326697671,0.9676485777328739,0.7673763046683003,0.6306209691986747,0.5813019427034377,0.37501119649100817,0.7297284165939528,0.37180743291773344,0.3151858624821434,0.006740088414761609,0.015497146638968728,0.30702487574113174,0.42509643257553253,1.1818193358928897,0.7187340583466981
2025-01-04 08:00:00+00:00,0.7881583269869495,0.6720941457603296,0.3368309435451891,0.322341490936576,0.7025115673850116,0.37729126325247564,0.9677435804493482,0.7673861822739921,0.6305662767607368,0.5818219254168815,0.3749834834674357,0.7393866267911405,0.3724159678755939,0.3152275348006424,0.0067288916134592746,0.01557957282137135,0.3071267270277728,0.4243683282559074,1.183816321094384,0.7190912022543886
2025-01-04 09:00:00+00:00,0.7967331572074523,0.6740094075584525,0.3380488009524345,0.3224945860944098,0.7076619103636075,0.3777843963938784,0.9744415309649767,0.7712749888645816,0.6342540287834977,0.5835569596240925,0.37555500768080846,0.7402671936794218,0.37630563571503634,0.31605500858560426,0.0067245821098691864,0.015580867360299708,0.3072486848849743,0.42126630773791,1.1885153525714638,0.7200165398587147
2025-01-04 10:00:00+00:00,0.796695833531316,0.6739634852689967,0.3374553154236058,0.32332863222767877,0.7084733419098205,0.3773074317847307,0.9738445531549017,0.7699092720791179,0.6343958394851232,0.5834216357455706,0.3751157581314258,0.7362079164341739,0.370980735973644,0.3158078377104426,0.006695029178234029,0.015607240352484638,0.3079310780062468,0.4210164695593274,1.1891482789226333,0.7201526237943904
2025-01-04 11:00:00+00:00,0.7960536851047912,0.6726956531910046,0.3377441041086008,0.32332892140400166,0.7080289269733975,0.3769629559855192,0.9732556197989742,0.7685532202486394,0.6337418035530206,0.5834706885736444,0.3749166531726364,0.7463566502585455,0.3709130382718412,0.3158634188213905,0.006694907473980117,0.015587561986218993,0.3079663980024938,0.42108206900464507,1.1881036436979528,0.7196410020637242
