,asset,time,ReferenceRateUSD
2253,btc,2024-12-31 17:00:00+00:00,94778.6535777323
2254,btc,2024-12-31 18:00:00+00:00,93896.0573933373
2255,btc,2024-12-31 19:00:00+00:00,93885.7044701929
2256,btc,2024-12-31 20:00:00+00:00,93859.2979038574
2257,btc,2024-12-31 21:00:00+00:00,93619.7801125073
2258,btc,2024-12-31 22:00:00+00:00,93623.5296125073
2259,btc,2024-12-31 23:00:00+00:00,93473.9764126242
2260,btc,2025-01-01 00:00:00+00:00,93389.7326016949
2261,btc,2025-01-01 01:00:00+00:00,93775.2263895383
2262,btc,2025-01-01 02:00:00+00:00,93646.9837594974
2263,btc,2025-01-01 03:00:00+00:00,93695.9908033314
2264,btc,2025-01-01 04:00:00+00:00,93634.8905701344
2265,btc,2025-01-01 05:00:00+00:00,93459.4606130918
2266,btc,2025-01-01 06:00:00+00:00,93581.2088971362
2267,btc,2025-01-01 07:00:00+00:00,93468.9916282876
2268,btc,2025-01-01 08:00:00+00:00,93525.4640958504
2269,btc,2025-01-01 09:00:00+00:00,93313.5746040327
2270,btc,2025-01-01 10:00:00+00:00,93044.8154351257
2271,btc,2025-01-01 11:00:00+00:00,93184.2677866744
2272,btc,2025-01-01 12:00:00+00:00,93275.7642562829
2273,btc,2025-01-01 13:00:00+00:00,93557.4975300994
2274,btc,2025-01-01 14:00:00+00:00,93628.2569202221
2275,btc,2025-01-01 15:00:00+00:00,93890.399774401
2276,btc,2025-01-01 16:00:00+00:00,94033.7302369959
2277,btc,2025-01-01 17:00:00+00:00,93869.9947986558
2278,btc,2025-01-01 18:00:00+00:00,93797.5687559907
2279,btc,2025-01-01 19:00:00+00:00,94032.3714792519
2280,btc,2025-01-01 20:00:00+00:00,94238.7061239042
2281,btc,2025-01-01 21:00:00+00:00,94559.0889918177
2282,btc,2025-01-01 22:00:00+00:00,94677.4956066628
2283,btc,2025-01-01 23:00:00+00:00,94632.9014298656
2284,btc,2025-01-02 00:00:00+00:00,94455.7965718878
2285,btc,2025-01-02 01:00:00+00:00,94828.4928082993
2286,btc,2025-01-02 02:00:00+00:00,94795.4943740503
2287,btc,2025-01-02 03:00:00+00:00,94887.7345745178
2288,btc,2025-01-02 04:00:00+00:00,94832.8551294565
2289,btc,2025-01-02 05:00:00+00:00,95396.176238457
2290,btc,2025-01-02 06:00:00+00:00,95477.594459965
2291,btc,2025-01-02 07:00:00+00:00,95356.2658912917
2292,btc,2025-01-02 08:00:00+00:00,95654.1667378726
2293,btc,2025-01-02 09:00:00+00:00,95791.5149398013
2294,btc,2025-01-02 10:00:00+00:00,96313.4067095266
2295,btc,2025-01-02 11:00:00+00:00,96551.3353606078
2296,btc,2025-01-02 12:00:00+00:00,96570.9748962595
2297,btc,2025-01-02 13:00:00+00:00,96661.5850563998
2298,btc,2025-01-02 14:00:00+00:00,96524.7101998831
2299,btc,2025-01-02 15:00:00+00:00,96726.5311016949
2300,btc,2025-01-02 16:00:00+00:00,96410.4125885447
2301,btc,2025-01-02 17:00:00+00:00,97199.3062413794
2302,btc,2025-01-02 18:00:00+00:00,96700.1820689655
2303,btc,2025-01-02 19:00:00+00:00,96917.8882501461
2304,btc,2025-01-02 20:00:00+00:00,97353.5720534775
2305,btc,2025-01-02 21:00:00+00:00,97435.9272369959
2306,btc,2025-01-02 22:00:00+00:00,97090.0644789597
2307,btc,2025-01-02 23:00:00+00:00,96836.6075827002
2308,btc,2025-01-03 00:00:00+00:00,96851.393682934
2309,btc,2025-01-03 01:00:00+00:00,96822.2526022794
2310,btc,2025-01-03 02:00:00+00:00,96742.794137931
2311,btc,2025-01-03 03:00:00+00:00,97019.7234193454
2312,btc,2025-01-03 04:00:00+00:00,96895.1481998831
2313,btc,2025-01-03 05:00:00+00:00,96789.9477793688
2314,btc,2025-01-03 06:00:00+00:00,96654.1624982467
2315,btc,2025-01-03 07:00:00+00:00,96578.845958796
2316,btc,2025-01-03 08:00:00+00:00,96326.940827294
2317,btc,2025-01-03 09:00:00+00:00,96170.7956323787
2318,btc,2025-01-03 10:00:00+00:00,96472.5058112215
2319,btc,2025-01-03 11:00:00+00:00,96432.9938439509
2320,btc,2025-01-03 12:00:00+00:00,96645.964503799
2321,btc,2025-01-03 13:00:00+00:00,96683.4592384571
2322,btc,2025-01-03 14:00:00+00:00,96508.8766788428
2323,btc,2025-01-03 15:00:00+00:00,96912.0977291058
2324,btc,2025-01-03 16:00:00+00:00,97316.9839938633
2325,btc,2025-01-03 17:00:00+00:00,97939.7080680889
2326,btc,2025-01-03 18:00:00+00:00,98062.8551911163
2327,btc,2025-01-03 19:00:00+00:00,98385.022417592
2328,btc,2025-01-03 20:00:00+00:00,98662.6577296902
2329,btc,2025-01-03 21:00:00+00:00,98456.9345204559
2330,btc,2025-01-03 22:00:00+00:00,98259.3002255991
2331,btc,2025-01-03 23:00:00+00:00,98335.1306770894
2332,btc,2025-01-04 00:00:00+00:00,98120.6846759205
2333,btc,2025-01-04 01:00:00+00:00,97968.5684488603
2334,btc,2025-01-04 02:00:00+00:00,97963.9574494448
2335,btc,2025-01-04 03:00:00+00:00,98076.8482478083
2336,btc,2025-01-04 04:00:00+00:00,98131.0116797194
2337,btc,2025-01-04 05:00:00+00:00,97916.1808571011
2338,btc,2025-01-04 06:00:00+00:00,98096.6425230859
